LGA_NAME21,sum_prop_funding,num_sp_current_recovery_plan,sum_sutcliffe_met,num_sp_status_improved,sum_persistence_prob,num_sp_status_worsened,num_sp_extinct,number_threat_sp,number_delisted_sp,indicator_funding,grade_funding,indicator_recovery_plans,grade_recovery_plans,indicator_habitat_prot,grade_habitat_prot,indicator_improved,grade_improved,indicator_persistence,grade_persistence,input,input_grade,output,output_grade,outcome,outcome_grade
Unincorporated NT,1.480435084,11,40.13743274,0,38.8288267,0,0,45,0,0.032898557,F,0.244444444,E,0.89194295,A,0,F,0.862862816,A,0.032898557,F,0.568193697,C,0.431431408,D
Unincorporated SA,3.140065403,17,79.17088496,0,92.33369703,1,0,105,0,0.029905385,F,0.161904762,F,0.754008428,B,0,F,0.879368543,A,0.029905385,F,0.457956595,D,0.439684272,D
Unincorporated Vic,2.121638174,16,75.05511262,0,67.97073067,0,0,82,0,0.025873636,F,0.195121951,E,0.915306251,A,0,F,0.82891135,B,0.025873636,F,0.555214101,C,0.414455675,D
Unley,0.115508368,1,13.85096254,0,17.06207552,0,0,20,0,0.005775418,F,0.05,F,0.692548127,B,0,F,0.853103776,A,0.005775418,F,0.371274063,D,0.426551888,D
Upper Gascoyne,0.039634703,0,6.572901139,0,7.654378938,0,0,8,0,0.004954338,F,0,F,0.821612642,B,0,F,0.956797367,A,0.004954338,F,0.410806321,D,0.478398684,D
Upper Hunter Shire,0.850571214,9,46.48753298,0,48.73814598,2,0,57,0,0.014922302,F,0.157894737,F,0.815570754,B,0,F,0.855055193,A,0.014922302,F,0.486732745,D,0.427527596,D
Upper Lachlan Shire,0.318177236,11,40.72465919,0,39.61666972,1,0,46,0,0.006916896,F,0.239130435,E,0.885318678,A,0,F,0.861231951,A,0.006916896,F,0.562224556,C,0.430615975,D
Uralla,1.12043731,8,32.50040589,0,33.55005562,2,0,40,0,0.028010933,F,0.2,E,0.812510147,B,0,F,0.83875139,A,0.028010933,F,0.506255074,C,0.419375695,D
Victor Harbor,0.210964369,4,31.95854918,0,36.71185174,0,0,46,0,0.004586182,F,0.086956522,F,0.694751069,B,0,F,0.798083734,B,0.004586182,F,0.390853795,D,0.399041867,D
Victoria Daly,0.974755218,10,37.98115869,0,34.17069108,1,0,41,0,0.023774518,F,0.243902439,E,0.926369724,A,0,F,0.83343149,A,0.023774518,F,0.585136082,C,0.416715745,D
Victoria Park,0.431829044,8,27.06070814,0,25.47848515,0,0,31,0,0.013929969,F,0.258064516,E,0.872926069,A,0,F,0.821886618,B,0.013929969,F,0.565495293,C,0.410943309,D
Victoria Plains,0.157727286,3,11.6579318,0,29.26091673,1,0,38,0,0.004150718,F,0.078947368,F,0.306787679,E,0,F,0.770024124,B,0.004150718,F,0.192867524,E,0.385012062,D
Vincent,0.317187925,7,23.38023168,0,21.04960578,0,0,25,0,0.012687517,F,0.28,E,0.935209267,A,0,F,0.841984231,A,0.012687517,F,0.607604634,C,0.420992116,D
